index,Estimated,Ground Truth
0,240.66292361121455,240.66292361121455
1,240.5858399133363,240.56292361121456
2,240.46608398851603,240.46292361121456
3,240.3801157343246,240.36292361121457
4,240.27613682873812,240.26292361121457
5,240.16474392244083,240.16292361121458
6,240.06985695898243,240.0629236112146
7,239.97871788200473,239.9629236112146
8,239.8869527215152,239.8629236112146
9,239.77906285862767,239.7629236112146
10,239.67243937522878,239.6629236112146
11,239.59656569219672,239.56292361121461
12,239.50521681907077,239.46292361121462
13,239.38459791106186,239.36292361121463
14,239.29626002079786,239.26292361121463
15,239.195312691847,239.16292361121464
16,239.09926481788517,239.06292361121464
17,238.97825490245438,238.96292361121465
18,238.87951085384245,238.86292361121465
19,238.78006042799137,238.76292361121466
20,238.6927875967401,238.66292361121467
21,238.59724860478616,238.56292361121467
22,238.49588799287434,238.46292361121468
23,238.39867707669208,238.36292361121468
24,238.28224634404853,238.2629236112147
25,238.18412503348338,238.1629236112147
26,238.10002174248913,238.0629236112147
27,237.98790656876332,237.9629236112147
28,237.9129278514565,237.8629236112147
29,237.8017538945006,237.76292361121472
30,237.70350791025407,237.66292361121472
