index,Estimated,Ground Truth
0,0.5931286804447973,0.7
1,0.8499892655760107,0.7999999999999999
2,0.917722813151649,0.8999999999999999
3,1.0575643009281956,1.0
4,1.1199404483215023,1.1
5,1.2288508415405701,1.2
6,1.328550576633323,1.2999999999999998
7,1.4255229540715342,1.4
8,1.555988068501073,1.5
9,1.6269754349865884,1.6
10,1.7285619330364985,1.7
11,1.830480633282851,1.8
12,1.9149785358344285,1.9
13,2.031102103162959,2.0
14,2.1319798817741695,2.0999999999999996
15,2.22877407218556,2.2
16,2.331872606725552,2.3
17,2.4341558000000996,2.4
18,2.5282461005240418,2.5
19,2.6293042648920575,2.5999999999999996
20,2.7334847749522067,2.7
21,2.8315424108557306,2.8
22,2.932604080717814,2.9000000000000004
23,3.03159119069555,3.0
24,3.140803582425758,3.0999999999999996
25,3.228934275254343,3.2
26,3.3393027884864233,3.3
27,3.4326023090365765,3.4000000000000004
28,3.505185883471509,3.5
29,3.611245909365273,3.5999999999999996
30,3.7033707224268313,3.7
31,3.8051017929794844,3.8
32,3.8999282731777494,3.9000000000000004
33,4.00513084482277,4.0
34,4.099362119198914,4.1
35,4.205677981222231,4.2
36,4.300015651582299,4.3
37,4.437412341413915,4.4
38,4.557655566512703,4.5
39,4.6486373274091575,4.6
40,4.746786993435431,4.7
