[2022-12-26 07:03:12.589] [info] Focus Quality Measure : 249.0331673106173
[2022-12-26 07:03:12.640] [info] Focus Quality Measure : 249.95256235802466
[2022-12-26 07:03:12.691] [info] Focus Quality Measure : 250.39862869135797
[2022-12-26 07:03:12.742] [info] Focus Quality Measure : 251.76075988888894
[2022-12-26 07:03:12.793] [info] Focus Quality Measure : 250.9603859155556
[2022-12-26 07:03:12.844] [info] Focus Quality Measure : 247.796133214321
[2022-12-26 07:03:12.895] [info] Focus Quality Measure : 249.85671111111108
[2022-12-26 07:03:12.946] [info] Focus Quality Measure : 252.2779250128395
[2022-12-26 07:03:12.997] [info] Focus Quality Measure : 252.1058539254321
[2022-12-26 07:03:13.047] [info] Focus Quality Measure : 252.900516614321
[2022-12-26 07:03:13.099] [info] Focus Quality Measure : 251.07873302469133
[2022-12-26 07:03:13.150] [info] Focus Quality Measure : 252.78218960543214
[2022-12-26 07:03:13.201] [info] Focus Quality Measure : 252.61740938222226
[2022-12-26 07:03:13.252] [info] Focus Quality Measure : 249.52510473283948
[2022-12-26 07:03:13.302] [info] Focus Quality Measure : 251.52541009333336
[2022-12-26 07:03:13.353] [info] Focus Quality Measure : 252.25475955358024
[2022-12-26 07:03:13.404] [info] Focus Quality Measure : 251.10903869432101
[2022-12-26 07:03:13.456] [info] Focus Quality Measure : 252.48012433333338
[2022-12-26 07:03:13.506] [info] Focus Quality Measure : 251.47625717283955
[2022-12-26 07:03:13.557] [info] Focus Quality Measure : 250.0401721995062
[2022-12-26 07:03:13.607] [info] Focus Quality Measure : 249.2341084128395
[2022-12-26 07:03:13.658] [info] Focus Quality Measure : 249.77298364
[2022-12-26 07:03:13.708] [info] Focus Quality Measure : 251.12624501283955
[2022-12-26 07:03:13.760] [info] Focus Quality Measure : 251.2044672350617
[2022-12-26 07:03:13.810] [info] Focus Quality Measure : 249.74891288444445
[2022-12-26 07:03:13.861] [info] Focus Quality Measure : 251.11187598222224
[2022-12-26 07:03:13.912] [info] Focus Quality Measure : 250.96949609876546
[2022-12-26 07:03:13.963] [info] Focus Quality Measure : 250.38343703506172
[2022-12-26 07:03:14.014] [info] Focus Quality Measure : 253.08483327950617
[2022-12-26 07:03:14.065] [info] Focus Quality Measure : 249.56573042913584
[2022-12-26 07:03:14.116] [info] Focus Quality Measure : 251.06682883950617
[2022-12-26 07:03:14.167] [info] Focus Quality Measure : 250.4073265180247
[2022-12-26 07:03:14.218] [info] Focus Quality Measure : 249.83552587654322
[2022-12-26 07:03:14.269] [info] Focus Quality Measure : 248.7748620044445
[2022-12-26 07:03:14.320] [info] Focus Quality Measure : 249.58192217283946
[2022-12-26 07:03:14.371] [info] Focus Quality Measure : 249.84385502765434
[2022-12-26 07:03:14.422] [info] Focus Quality Measure : 252.30895999802468
[2022-12-26 07:03:14.473] [info] Focus Quality Measure : 250.535014257284
[2022-12-26 07:03:14.523] [info] Focus Quality Measure : 251.03771924888895
[2022-12-26 07:03:14.574] [info] Focus Quality Measure : 248.7328648646914
[2022-12-26 07:03:14.625] [info] Focus Quality Measure : 250.8113818054321
[2022-12-26 07:03:14.676] [info] Focus Quality Measure : 250.07391886222226
[2022-12-26 07:03:14.727] [info] Focus Quality Measure : 252.58577753283956
[2022-12-26 07:03:14.778] [info] Focus Quality Measure : 251.36554609580244
[2022-12-26 07:03:14.829] [info] Focus Quality Measure : 250.1447565511111
[2022-12-26 07:03:14.880] [info] Focus Quality Measure : 249.19741011555558
[2022-12-26 07:03:14.931] [info] Focus Quality Measure : 251.64740709876543
[2022-12-26 07:03:14.982] [info] Focus Quality Measure : 252.62944108839505
[2022-12-26 07:03:15.033] [info] Focus Quality Measure : 249.82993380691357
[2022-12-26 07:03:15.084] [info] Focus Quality Measure : 252.36431980246917
[2022-12-26 07:03:15.135] [info] Focus Quality Measure : 251.90160616098768
[2022-12-26 07:03:15.186] [info] Focus Quality Measure : 251.55720230666668
[2022-12-26 07:03:15.237] [info] Focus Quality Measure : 249.6244351758025
[2022-12-26 07:03:15.288] [info] Focus Quality Measure : 251.35074665432103
[2022-12-26 07:03:15.339] [info] Focus Quality Measure : 251.17915196839508
[2022-12-26 07:03:15.390] [info] Focus Quality Measure : 250.35178924987656
[2022-12-26 07:03:15.440] [info] Focus Quality Measure : 251.42060794024692
[2022-12-26 07:03:15.491] [info] Focus Quality Measure : 251.19215297580243
[2022-12-26 07:03:15.542] [info] Focus Quality Measure : 252.32460396839502
[2022-12-26 07:03:15.593] [info] Focus Quality Measure : 251.08983650320988
[2022-12-26 07:03:15.645] [info] Focus Quality Measure : 252.5720086735803
[2022-12-26 07:03:15.698] [info] Focus Quality Measure : 251.2388840844445
[2022-12-26 07:03:15.750] [info] Focus Quality Measure : 251.86101609876545
[2022-12-26 07:03:15.800] [info] Focus Quality Measure : 249.04582119061732
[2022-12-26 07:03:15.852] [info] Focus Quality Measure : 251.56561027111115
[2022-12-26 07:03:15.903] [info] Focus Quality Measure : 250.20500485876548
[2022-12-26 07:03:15.953] [info] Focus Quality Measure : 250.5776165906173
[2022-12-26 07:03:16.004] [info] Focus Quality Measure : 251.9469740202469
[2022-12-26 07:03:16.055] [info] Focus Quality Measure : 247.40178073283948
[2022-12-26 07:03:16.106] [info] Focus Quality Measure : 251.1440663580247
[2022-12-26 07:03:16.157] [info] Focus Quality Measure : 251.38109722666672
[2022-12-26 07:03:16.207] [info] Focus Quality Measure : 250.46104271802471
[2022-12-26 07:03:16.259] [info] Focus Quality Measure : 250.08026373876544
[2022-12-26 07:03:16.309] [info] Focus Quality Measure : 250.83287118222222
[2022-12-26 07:03:16.361] [info] Focus Quality Measure : 252.07299342172843
[2022-12-26 07:03:16.412] [info] Focus Quality Measure : 251.41568767950616
[2022-12-26 07:03:16.463] [info] Focus Quality Measure : 250.20980458222226
[2022-12-26 07:03:16.513] [info] Focus Quality Measure : 252.88808222765434
[2022-12-26 07:03:16.564] [info] Focus Quality Measure : 252.83977615358023
[2022-12-26 07:03:16.615] [info] Focus Quality Measure : 248.62379235111112
[2022-12-26 07:03:16.666] [info] Focus Quality Measure : 250.40366635802468
[2022-12-26 07:03:16.717] [info] Focus Quality Measure : 251.32950873876544
[2022-12-26 07:03:16.767] [info] Focus Quality Measure : 251.6363294320988
[2022-12-26 07:03:16.818] [info] Focus Quality Measure : 253.0084601358025
[2022-12-26 07:03:16.869] [info] Focus Quality Measure : 249.70557131654323
[2022-12-26 07:03:16.920] [info] Focus Quality Measure : 249.4143268933334
[2022-12-26 07:03:16.972] [info] Focus Quality Measure : 250.46359250172844
[2022-12-26 07:03:17.023] [info] Focus Quality Measure : 249.69732049333336
[2022-12-26 07:03:17.073] [info] Focus Quality Measure : 252.82845056000002
[2022-12-26 07:03:17.125] [info] Focus Quality Measure : 250.16129733333338
[2022-12-26 07:03:17.176] [info] Focus Quality Measure : 250.44956650666666
[2022-12-26 07:03:17.227] [info] Focus Quality Measure : 249.95094325728397
[2022-12-26 07:03:17.278] [info] Focus Quality Measure : 249.10867654320987
[2022-12-26 07:03:17.329] [info] Focus Quality Measure : 250.12437631802473
[2022-12-26 07:03:17.380] [info] Focus Quality Measure : 249.63343924888895
[2022-12-26 07:03:17.431] [info] Focus Quality Measure : 250.01884335358022
[2022-12-26 07:03:17.482] [info] Focus Quality Measure : 248.89819433876542
[2022-12-26 07:03:17.533] [info] Focus Quality Measure : 248.49508591358028
[2022-12-26 07:03:17.584] [info] Focus Quality Measure : 250.34552809876544
[2022-12-26 07:03:17.635] [info] Focus Quality Measure : 251.30646290913577
[2022-12-26 07:03:17.686] [info] Focus Quality Measure : 251.63318961728396
[2022-12-26 07:03:17.737] [info] Focus Quality Measure : 252.78187039555556
[2022-12-26 07:03:17.788] [info] Focus Quality Measure : 250.89518647111106
[2022-12-26 07:03:17.839] [info] Focus Quality Measure : 252.56507128839507
[2022-12-26 07:03:17.890] [info] Focus Quality Measure : 248.99409098222225
[2022-12-26 07:03:17.941] [info] Focus Quality Measure : 252.22243807950622
[2022-12-26 07:03:17.992] [info] Focus Quality Measure : 250.8098172839506
[2022-12-26 07:03:18.043] [info] Focus Quality Measure : 249.73522602666665
[2022-12-26 07:03:18.095] [info] Focus Quality Measure : 253.89595846913585
[2022-12-26 07:03:18.145] [info] Focus Quality Measure : 251.07949311802471
[2022-12-26 07:03:18.196] [info] Focus Quality Measure : 249.16368438469138
[2022-12-26 07:03:18.248] [info] Focus Quality Measure : 253.71183451654318
[2022-12-26 07:03:18.299] [info] Focus Quality Measure : 250.56071229432095
[2022-12-26 07:03:18.350] [info] Focus Quality Measure : 250.3594725328395
[2022-12-26 07:03:18.401] [info] Focus Quality Measure : 250.3601056666667
[2022-12-26 07:03:18.452] [info] Focus Quality Measure : 251.54381822222226
[2022-12-26 07:03:18.503] [info] Focus Quality Measure : 251.72297445135803
