index,Estimated,Ground Truth
0,154.81514975421325,154.81514975421325
1,154.78228229278932,154.81514975421325
2,154.80763953700156,154.81514975421325
3,154.78988495037672,154.81514975421325
4,154.80069269824875,154.81514975421325
5,154.8123278757624,154.81514975421325
6,154.81552851902086,154.81514975421325
7,154.79893939063658,154.81514975421325
8,154.79008414170312,154.81514975421325
9,154.8009691344292,154.81514975421325
10,154.81140672622112,154.81514975421325
11,154.7765423236923,154.81514975421325
12,154.7640649541656,154.81514975421325
13,154.79474405623492,154.81514975421325
14,154.77666863396297,154.81514975421325
15,154.7827424753632,154.81514975421325
16,154.77547003371046,154.81514975421325
17,154.8095253696404,154.81514975421325
18,154.8081578783828,154.81514975421325
19,154.81602023247072,154.81514975421325
20,154.78981355428996,154.81514975421325
21,154.78850628230398,154.81514975421325
22,154.7825986452962,154.81514975421325
23,154.78380417056113,154.81514975421325
24,154.81950660260443,154.81514975421325
25,154.8155862569857,154.81514975421325
26,154.78276112422222,154.81514975421325
27,154.80797386134935,154.81514975421325
28,154.77046051983123,154.81514975421325
29,154.78715388512262,154.81514975421325
30,154.78029481882896,154.81514975421325
